Model,BLIMP,SUPPLEMENT,EWOK,ENTITY TRACKING,WUG ADJ,WUG PAST,COMPS,READING (SPR),READING (ET),GLUE,AoA
baseline,54.44,50.98,51.01,32.27,0.58,-0.09,50.34,3.08,10.06,61.27,0.00
1b+9a,57.06,52.33,50.17,28.41,0.52,-0.03,50.66,3.53,10.17,61.51,-0.27
2.5b+9a,55.15,51.77,49.38,38.89,0.48,0.23,51.25,3.52,11.01,61.19,0.00
5b+5a,55.56,51.55,49.89,33.65,0.67,-0.03,50.93,3.50,11.02,62.29,0.00
7.5b+2.5a,55.76,52.72,49.92,29.02,0.68,-0.20,50.90,3.42,11.03,61.65,0.00
9b+1a,54.30,51.67,49.62,33.83,0.57,-0.15,50.85,2.93,10.25,62.11,0.00
10b+10a,54.39,53.10,49.46,29.70,0.72,-0.03,50.49,2.81,10.48,61.98,0.00
